,0,1,2,3,4,5
0,2.5e-05,6e-06,5.2e-05,8367885000.0,0.0258069778,2.08876827
1,2.5e-05,7e-06,5.2e-05,8367885000.0,0.0258069778,2.08876827
2,2.5e-05,8e-06,5.2e-05,8367885000.0,0.0258069778,2.08876827
3,2.5e-05,9e-06,5.2e-05,8367885000.0,0.0258069778,2.08876827
4,2.5e-05,6e-06,5.25e-05,8475244000.0,0.0259888984,2.09016068
5,2.5e-05,7e-06,5.25e-05,8475244000.0,0.0259888984,2.09016068
6,2.5e-05,8e-06,5.25e-05,8475244000.0,0.0259888984,2.09016068
7,2.5e-05,9e-06,5.25e-05,8475244000.0,0.0259888984,2.09016068
8,2.5e-05,6e-06,5.3e-05,8580713000.0,0.0261706656,2.09153996
9,2.5e-05,7e-06,5.3e-05,8580713000.0,0.0261706656,2.09153996
10,2.5e-05,8e-06,5.3e-05,8580713000.0,0.0261706656,2.09153996
11,2.5e-05,9e-06,5.3e-05,8580713000.0,0.0261706656,2.09153996
12,2.5e-05,6e-06,5.35e-05,8684262000.0,0.0263522865,2.09290586
13,2.5e-05,7e-06,5.35e-05,8684262000.0,0.0263522865,2.09290586
14,2.5e-05,8e-06,5.35e-05,8684262000.0,0.0263522865,2.09290586
15,2.5e-05,9e-06,5.35e-05,8684262000.0,0.0263522865,2.09290586
16,2.5e-05,6e-06,5.4e-05,8785895000.0,0.0265337728,2.09425779
17,2.5e-05,7e-06,5.4e-05,8785895000.0,0.0265337728,2.09425779
18,2.5e-05,8e-06,5.4e-05,8785895000.0,0.0265337728,2.09425779
19,2.5e-05,9e-06,5.4e-05,8785895000.0,0.0265337728,2.09425779
20,2.5e-05,6e-06,5.45e-05,8885603000.0,0.0267151246,2.09559612
21,2.5e-05,7e-06,5.45e-05,8885603000.0,0.0267151246,2.09559612
22,2.5e-05,8e-06,5.45e-05,8885603000.0,0.0267151246,2.09559612
23,2.5e-05,9e-06,5.45e-05,8885603000.0,0.0267151246,2.09559612
24,2.5e-05,6e-06,5.5e-05,8983436000.0,0.0268963463,2.09692087
25,2.5e-05,7e-06,5.5e-05,8983436000.0,0.0268963463,2.09692087
26,2.5e-05,8e-06,5.5e-05,8983436000.0,0.0268963463,2.09692087
27,2.5e-05,9e-06,5.5e-05,8983436000.0,0.0268963463,2.09692087
28,2.5e-05,6e-06,5.55e-05,9079389000.0,0.0270774355,2.09823259
29,2.5e-05,7e-06,5.55e-05,9079389000.0,0.0270774355,2.09823259
30,2.5e-05,8e-06,5.55e-05,9079389000.0,0.0270774355,2.09823259
31,2.5e-05,9e-06,5.55e-05,9079389000.0,0.0270774355,2.09823259
