Width,200,200,246.4,246.4,292.7,292.7,339.1,339.1,385.4,385.4,431.8,431.8,478.2,478.2,524.5,524.5,570.9,570.9,617.2,617.2,663.6,663.6,709.9,709.9,756.3,756.3,802.7,802.7,849,849,895.4,895.4,941.7,941.7,988.1,988.1,1.03E+03,1.03E+03,1.08E+03,1.08E+03,1.13E+03,1.13E+03,1.17E+03,1.17E+03,1.22E+03,1.22E+03,1.27E+03,1.27E+03,1.31E+03,1.31E+03,1.36E+03,1.36E+03,1.41E+03,1.41E+03,1.45E+03,1.45E+03,1.50E+03,1.50E+03,1.54E+03,1.54E+03,1.59E+03,1.59E+03,1.64E+03,1.64E+03,1.68E+03,1.68E+03,1.73E+03,1.73E+03,1.78E+03,1.78E+03,1.82E+03,1.82E+03,1.87E+03,1.87E+03,1.92E+03,1.92E+03,1.96E+03,1.96E+03,2.01E+03,2.01E+03
1.00E-06,-13.75,,-11.98,,-10.53,,-9.295,,-8.225,,-7.281,,-6.437,,-5.675,,-4.982,,-4.345,,-3.758,,-3.213,,-2.704,,-2.229,,-1.782,,-1.362,,-9.64E-01,,-5.88E-01,,-2.30E-01,,1.10E-01,,4.34E-01,,7.43E-01,,1.039,,1.323,,1.595,,1.856,,2.107,,2.348,,2.581,,2.805,,3.022,9.66E+10,3.231,9.33E+10,3.433,9.03E+10,3.629,8.74E+10,3.818,8.48E+10,4.002,8.22E+10,4.18,7.99E+10,4.353,7.77E+10,4.52,7.56E+10,4.683,7.36E+10
1.38E-06,-11.04,,-9.286,,-7.847,,-6.629,,-5.573,,-4.644,,-3.816,,-3.069,,-2.39,,-1.769,,-1.196,,-6.66E-01,,-1.73E-01,,2.88E-01,,7.20E-01,,1.126,,1.509,,1.871,,2.213,,2.539,,2.848,,3.143,9.70E+10,3.424,9.25E+10,3.693,8.85E+10,3.95,8.49E+10,4.196,8.15E+10,4.432,7.84E+10,4.659,7.55E+10,4.877,7.29E+10,5.087,7.05E+10,5.288,6.82E+10,5.483,6.61E+10,5.67,6.40E+10,5.851,6.22E+10,6.025,6.05E+10,6.194,5.88E+10,6.357,5.72E+10,6.515,5.58E+10,6.667,5.44E+10,6.815,5.31E+10
1.75E-06,-9.003,,-7.267,,-5.843,,-4.64,,-3.599,,-2.685,,-1.872,,-1.14,,-4.76E-01,,1.31E-01,,6.89E-01,,1.205,,1.683,,2.129,,2.547,,2.938,,3.306,9.56E+10,3.653,9.02E+10,3.981,8.54E+10,4.291,8.12E+10,4.586,7.73E+10,4.866,7.39E+10,5.133,7.07E+10,5.386,6.78E+10,5.629,6.52E+10,5.86,6.28E+10,6.081,6.06E+10,6.293,5.85E+10,6.496,5.66E+10,6.69,5.48E+10,6.877,5.31E+10,7.057,5.16E+10,7.229,5.02E+10,7.395,4.88E+10,7.554,4.75E+10,7.707,4.63E+10,7.855,4.52E+10,7.997,4.41E+10,8.134,4.31E+10,8.265,4.22E+10
2.13E-06,-7.379,,-5.658,,-4.25,,-3.061,,-2.036,,-1.137,,-3.38E-01,,3.80E-01,,1.029,,1.621,,2.164,,2.665,,3.129,9.90E+10,3.56,9.21E+10,3.963,8.62E+10,4.34,8.10E+10,4.693,7.64E+10,5.025,7.24E+10,5.338,6.88E+10,5.634,6.56E+10,5.913,6.26E+10,6.178,6.00E+10,6.43,5.75E+10,6.669,5.53E+10,6.896,5.33E+10,7.112,5.14E+10,7.318,4.97E+10,7.515,4.81E+10,7.702,4.67E+10,7.881,4.53E+10,8.052,4.40E+10,8.216,4.28E+10,8.372,4.17E+10,8.52,4.07E+10,8.663,3.97E+10,8.798,3.87E+10,8.928,3.79E+10,9.051,3.71E+10,9.168,3.63E+10,9.279,3.56E+10
2.50E-06,-6.032,,-4.326,,-2.932,,-1.758,,-7.48E-01,,1.37E-01,,9.21E-01,,1.623,,2.258,,2.836,,3.364,9.55E+10,3.85,8.81E+10,4.299,8.18E+10,4.716,7.64E+10,5.103,7.17E+10,5.465,6.76E+10,5.803,6.39E+10,6.12,6.07E+10,6.419,5.78E+10,6.699,5.52E+10,6.964,5.28E+10,7.214,5.07E+10,7.45,4.88E+10,7.673,4.70E+10,7.885,4.54E+10,8.085,4.39E+10,8.275,4.25E+10,8.455,4.12E+10,8.625,4.00E+10,8.786,3.89E+10,8.939,3.79E+10,9.083,3.70E+10,9.218,3.61E+10,9.345,3.52E+10,9.466,3.45E+10,9.577,3.37E+10,9.68,3.30E+10,9.775,3.24E+10,9.861,3.18E+10,9.937,3.13E+10
2.88E-06,-4.883,,-3.192,,-1.813,,-6.54E-01,,3.42E-01,,1.212,,1.981,,2.669,,3.289,9.68E+10,3.852,8.82E+10,4.365,8.10E+10,4.837,7.50E+10,5.271,6.98E+10,5.672,6.54E+10,6.045,6.15E+10,6.391,5.81E+10,6.715,5.51E+10,7.017,5.24E+10,7.3,5.01E+10,7.565,4.79E+10,7.814,4.60E+10,8.048,4.42E+10,8.268,4.26E+10,8.474,4.12E+10,8.668,3.98E+10,8.85,3.86E+10,9.021,3.74E+10,9.18,3.64E+10,9.33,3.54E+10,9.468,3.45E+10,9.596,3.37E+10,9.712,3.29E+10,9.817,3.22E+10,9.91,3.16E+10,9.99,3.10E+10,10.06,3.04E+10,10.11,3.00E+10,10.14,2.96E+10,10.16,2.92E+10,10.15,2.90E+10
3.25E-06,-3.883,,-2.207,,-8.43E-01,,3.02E-01,,1.283,,2.138,,2.892,,3.565,9.23E+10,4.17,8.35E+10,4.718,7.64E+10,5.217,7.04E+10,5.673,6.54E+10,6.092,6.10E+10,6.479,5.73E+10,6.836,5.40E+10,7.168,5.12E+10,7.476,4.86E+10,7.762,4.64E+10,8.029,4.44E+10,8.278,4.25E+10,8.51,4.09E+10,8.726,3.94E+10,8.927,3.81E+10,9.113,3.68E+10,9.287,3.57E+10,9.446,3.47E+10,9.591,3.37E+10,9.722,3.28E+10,9.839,3.21E+10,9.94,3.13E+10,10.02,3.07E+10,10.09,3.01E+10,10.13,2.97E+10,10.16,2.93E+10,10.15,2.90E+10,10.11,2.88E+10,10.03,2.88E+10,9.897,2.88E+10,9.714,2.91E+10,9.462,2.96E+10
3.63E-06,-3,,-1.339,,1.06E-02,,1.14,,2.107,,2.947,,3.687,9.03E+10,4.345,8.11E+10,4.935,7.36E+10,5.468,6.75E+10,5.951,6.23E+10,6.393,5.80E+10,6.797,5.43E+10,7.168,5.11E+10,7.51,4.83E+10,7.826,4.58E+10,8.118,4.36E+10,8.387,4.17E+10,8.637,4.00E+10,8.867,3.84E+10,9.08,3.70E+10,9.274,3.57E+10,9.452,3.46E+10,9.612,3.35E+10,9.755,3.26E+10,9.879,3.17E+10,9.984,3.10E+10,10.07,3.03E+10,10.12,2.98E+10,10.15,2.93E+10,10.15,2.90E+10,10.1,2.88E+10,10,2.87E+10,9.844,2.89E+10,9.615,2.93E+10,9.302,2.99E+10,8.898,3.09E+10,8.402,3.22E+10,7.818,3.39E+10,7.176,3.59E+10
4.00E-06,-2.21,,-5.64E-01,,7.71E-01,,1.885,,2.837,,3.662,9.03E+10,4.387,8.03E+10,5.03,7.23E+10,5.606,6.58E+10,6.123,6.05E+10,6.592,5.60E+10,7.018,5.22E+10,7.407,4.90E+10,7.762,4.62E+10,8.088,4.38E+10,8.387,4.16E+10,8.661,3.97E+10,8.912,3.80E+10,9.142,3.65E+10,9.349,3.52E+10,9.536,3.40E+10,9.702,3.29E+10,9.846,3.19E+10,9.967,3.11E+10,10.06,3.03E+10,10.12,2.97E+10,10.15,2.92E+10,10.14,2.89E+10,10.07,2.87E+10,9.935,2.88E+10,9.725,2.90E+10,9.416,2.96E+10,9,3.06E+10,8.469,3.20E+10,7.829,3.38E+10,7.123,3.60E+10,6.349,3.87E+10,5.547,4.16E+10,4.743,4.48E+10,3.954,4.83E+10
