b ,"leafValue( getData("":pwr"" ?result ""dc"") ""a"" 2.88e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.0675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.255e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.4425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.63e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.8175e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.005e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.1925e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.38e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.5675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.755e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.9425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.13e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.3175e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.505e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.6925e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.88e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.0675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.255e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.4425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.63e-06 ) (W)"
702.5,3.21E-04,3.40E-04,3.58E-04,3.76E-04,3.94E-04,4.12E-04,4.29E-04,4.46E-04,4.63E-04,4.80E-04,4.97E-04,5.13E-04,5.29E-04,5.45E-04,5.61E-04,5.76E-04,5.92E-04,6.07E-04,6.22E-04,6.37E-04,6.52E-04
708,3.21E-04,3.40E-04,3.58E-04,3.76E-04,3.94E-04,4.11E-04,4.29E-04,4.46E-04,4.63E-04,4.79E-04,4.96E-04,5.12E-04,5.28E-04,5.44E-04,5.60E-04,5.76E-04,5.91E-04,6.06E-04,6.21E-04,6.36E-04,6.51E-04
713.5,3.21E-04,3.39E-04,3.57E-04,3.76E-04,3.93E-04,4.11E-04,4.28E-04,4.45E-04,4.62E-04,4.79E-04,4.95E-04,5.12E-04,5.28E-04,5.44E-04,5.59E-04,5.75E-04,5.90E-04,6.05E-04,6.20E-04,6.35E-04,6.50E-04
719,3.20E-04,3.39E-04,3.57E-04,3.75E-04,3.93E-04,4.10E-04,4.28E-04,4.45E-04,4.62E-04,4.78E-04,4.95E-04,5.11E-04,5.27E-04,5.43E-04,5.58E-04,5.74E-04,5.89E-04,6.04E-04,6.19E-04,6.34E-04,6.49E-04
724.5,3.20E-04,3.39E-04,3.57E-04,3.75E-04,3.92E-04,4.10E-04,4.27E-04,4.44E-04,4.61E-04,4.78E-04,4.94E-04,5.10E-04,5.26E-04,5.42E-04,5.58E-04,5.73E-04,5.88E-04,6.03E-04,6.18E-04,6.33E-04,6.48E-04
730,3.20E-04,3.38E-04,3.56E-04,3.74E-04,3.92E-04,4.10E-04,4.27E-04,4.44E-04,4.61E-04,4.77E-04,4.93E-04,5.10E-04,5.26E-04,5.41E-04,5.57E-04,5.72E-04,5.88E-04,6.03E-04,6.17E-04,6.32E-04,6.47E-04
735.5,3.20E-04,3.38E-04,3.56E-04,3.74E-04,3.92E-04,4.09E-04,4.26E-04,4.43E-04,4.60E-04,4.77E-04,4.93E-04,5.09E-04,5.25E-04,5.41E-04,5.56E-04,5.71E-04,5.87E-04,6.02E-04,6.16E-04,6.31E-04,6.46E-04
741,3.19E-04,3.38E-04,3.56E-04,3.74E-04,3.91E-04,4.09E-04,4.26E-04,4.43E-04,4.59E-04,4.76E-04,4.92E-04,5.08E-04,5.24E-04,5.40E-04,5.55E-04,5.71E-04,5.86E-04,6.01E-04,6.16E-04,6.30E-04,6.45E-04
746.5,3.19E-04,3.37E-04,3.55E-04,3.73E-04,3.91E-04,4.08E-04,4.25E-04,4.42E-04,4.59E-04,4.75E-04,4.92E-04,5.08E-04,5.24E-04,5.39E-04,5.55E-04,5.70E-04,5.85E-04,6.00E-04,6.15E-04,6.29E-04,6.44E-04
752,3.19E-04,3.37E-04,3.55E-04,3.73E-04,3.91E-04,4.08E-04,4.25E-04,4.42E-04,4.58E-04,4.75E-04,4.91E-04,5.07E-04,5.23E-04,5.38E-04,5.54E-04,5.69E-04,5.84E-04,5.99E-04,6.14E-04,6.28E-04,6.42E-04
